StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q7,Q8,Q9,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q32,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14,Q15,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,Q17,Q18,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,MTurkCode
4/8/18 15:49,4/8/18 15:53,0,72.220.195.220,100,230,1,4/8/18 15:53,R_pyjMxtSQmkqsiqd,,,,,32.73710632,-117.0881042,anonymous,EN,1,5,0.623,1.969,2.695,3,2,2,28.901,30.522,31.25,2,,,1,144.273,144.771,145.747,2,The US was increasing support by ground troops in Syria to liberate Raqqa.,1,1.54,1.54,4.202,1,1,3,3,2.532,6.075,6.996,3,5,1,2.762,7.519,9.015,2,1228
4/8/18 15:49,4/8/18 15:53,0,71.224.2.157,100,217,1,4/8/18 15:53,R_Ox3zj5E4OYwKjmN,,,,,39.76899719,-75.80020142,anonymous,EN,1,39,0.639,2.387,3.626,3,5,2,0.913,2.308,3.319,2,,,1,137.672,137.672,138.653,1,"Neighboring countries to Syria in addition to the US, are helping to fight off ISIS.",1,2.966,2.966,7.398,1,2,2,3,1.663,6.315,7.252,4,3,4,3.72,6.028,6.756,2,77725668
4/8/18 15:49,4/8/18 15:53,0,157.50.93.56,100,251,1,4/8/18 15:53,R_2xE3zsAFzPgUONy,,,,,13.08329773,80.28329468,anonymous,EN,1,47,0.699,5.341,11.875,3,5,1,3.839,4.862,6.466,2,,1,,7.228,7.228,150.675,1,news discussions about terriost attack and also village attack,1,0.946,0.946,2.642,1,4,5,5,1.016,5.963,7.79,4,4,3,0.417,0.955,1.958,2,84764331
4/8/18 15:49,4/8/18 15:54,0,106.76.229.89,100,268,1,4/8/18 15:54,R_1hyjBJIr9tC9dbB,,,,,17.37530518,78.47439575,anonymous,EN,1,30,1.561,15.322,17.214,5,7,2,2.04,7.358,8.994,3,,,2,11.347,11.347,150.671,1,the war of syria isis and how it happend and which will be effected this,1,2.849,2.849,6.041,1,2,3,4,3.267,11.998,13.409,3,3,2,1.493,5.051,6.549,3,3980411
4/8/18 15:49,4/8/18 15:54,0,23.242.120.131,100,295,1,4/8/18 15:54,R_3lAHYaTI21y6zpE,,,,,33.90809631,-117.1082001,anonymous,EN,2,5,0.785,2.964,3.842,3,3,2,1.233,2.945,4.24,3,,1,,14.133,202.181,202.499,3,Two members of ISIS were interviewed from prison by RT. They were asked what their roles were and what their justification for killing people were. They said they had no justification and were just following orders.,4,4.59,4.59,5.811,1,2,4,2,2.653,11.321,12.041,5,5,5,3.054,7.383,8.742,3,84290823
4/8/18 15:50,4/8/18 15:54,0,142.196.15.248,100,264,1,4/8/18 15:54,R_1rMIUUjNEgA9v90,,,,,29.20210266,-80.99980164,anonymous,EN,1,10,2.187,3.867,5.506,3,5,1,1.561,2.752,4.178,2,1,,,180.748,180.748,182.297,1,It was about the weather in California. Talked about the atmospheric river.,2,1.628,1.628,2.898,1,2,4,4,3.09,14.099,15.033,6,4,4,3.037,5.258,7.083,2,65067867
4/8/18 15:50,4/8/18 15:54,0,174.71.44.203,100,272,1,4/8/18 15:54,R_1FyMATXNkE9DYGl,,,,,41.29930115,-96.16660309,anonymous,EN,1,22,1.059,4.27,5.236,3,7,2,2.208,4.255,5.322,2,1,,,139.967,139.967,184.779,1,"Southern California is getting lots of rains, up to an inch and hour in some places. It's causing a lot of flooding in LA and the surrounding regions.",2,1.735,1.735,2.796,1,4,2,5,2.865,13.419,14.582,4,3,5,3.818,6.428,7.318,2,76416187
4/8/18 15:50,4/8/18 15:54,0,108.234.49.65,100,271,1,4/8/18 15:54,R_2tLHjzAKBgHhGHj,,,,,36.21910095,-81.65630341,anonymous,EN,1,28,0.921,4.684,5.753,3,3,2,1.527,3.717,4.466,2,1,,,175.118,175.118,178.974,1,"LA weather pattern.  Tons of storms and rain with an atmospheric river on the way.
",2,2.82,2.82,4.707,1,2,2,3,5.033,15.195,16.33,5,3,4,3.893,10.495,11.783,2,54420769
4/8/18 15:49,4/8/18 15:54,0,67.246.89.139,100,287,1,4/8/18 15:54,R_22tQppKnvaV5WmQ,,,,,43.3480072,-76.34220123,anonymous,EN,1,27,1.165,3.394,5.264,7,3,2,1.052,14.358,14.701,4,1,,,2.151,211.048,211.833,17,It was the weather in California. Kinda weird to watch a weather forecast for another state.,2,0,0,3.661,0,2,2,2,0,0,6.55,0,4,5,0,0,5.316,0,34797325
4/8/18 15:50,4/8/18 15:54,0,108.185.234.87,100,247,1,4/8/18 15:54,R_3m8IONBpfOh0O4x,,,,,34.37590027,-118.6161957,anonymous,EN,2,5,4.908,7.844,9.319,3,5,2,2.286,4.84,6.42,2,,,1,10.12,41.786,146.319,3,Push to take Raqqa from ISIS soon to begin. More conventional US troops arriving in Syria to help rebel forces battle ISIS.,1,2.95,2.95,7.944,1,1,1,1,2.475,11.905,13.124,4,4,3,4.57,12.772,14.225,3,70751652
